Timer;Latitude;Longitude;Altitude;Vitesse;Allure
1736948999.0;48.857865;2.33675;36.8;9.189206531278543;6.529399442244539
1736949000.0;48.857879;2.336713;36.6;11.267157112590466;5.325211976759701
1736949001.0;48.857888;2.336675;36.6;10.66540380153518;5.625666042889401
1736949002.0;48.857895;2.336639;36.6;9.914328029480782;6.051847368937845
1736949003.0;48.857902;2.336602;36.6;10.167995012834528;5.900868354505008
1736949004.0;48.85791;2.336567;36.4;9.784851246408733;6.131927659301043
1736949005.0;48.857918;2.336525;36.2;11.548028148055817;5.195692219550173
1736949006.0;48.857928;2.336484;36.2;11.547067615940728;5.196124418390864
1736949007.0;48.85794;2.336443;36.2;11.848496674057955;5.063933564784534
1736949008.0;48.857945;2.3364;36.2;11.534196506690265;5.201922818394655
1736949009.0;48.85795;2.336356;36.2;11.794442673118981;5.087141602438541
1736949010.0;48.857957;2.336314;36.0;11.443453022060687;5.243172658141909
1736949011.0;48.85796;2.336271;36.0;11.422486023297218;5.252796972359996
1736949012.0;48.857963;2.336232;36.0;10.372271072671833;5.784654062704164
1736949013.0;48.857965;2.33619;36.0;11.123854318341378;5.393813896058493
1736949014.0;48.85796;2.336157;36.0;8.944368052383679;6.70813182648605
1736949015.0;48.857956;2.33612;36.0;9.904482846162677;6.057862983047719
1736949016.0;48.857954;2.336078;35.8;11.123856304699551;5.3938129328991335
1736949017.0;48.85795;2.336038;35.8;10.687325301743707;5.614126856437187
1736949018.0;48.857948;2.335997;35.8;10.860392742461533;5.524662083850281
1736949019.0;48.857944;2.335958;35.8;10.42621726377309;5.754723739402195
1736949020.0;48.857939;2.335916;35.8;11.274131728741516;5.321917593621868
1736949021.0;48.857936;2.335882;35.8;9.06161744219798;6.621334478389373
1736949022.0;48.85793;2.335843;35.8;10.578827254876936;5.6717061876910275
1736949023.0;48.857926;2.335809;35.8;9.123314904256821;6.5765569455467086
1736949024.0;48.857921;2.33577;35.8;10.495169730595219;5.716915642163434
1736949025.0;48.857919;2.335725;35.8;11.914445627895677;5.035903631094682
1736949026.0;48.857914;2.335684;35.8;11.014267261002693;5.447479943803166
1736949027.0;48.857915;2.335639;35.6;11.894251422032154;5.044453650009434
1736949028.0;48.857914;2.335596;35.6;11.366230829995846;5.278794782317642
1736949029.0;48.857913;2.335554;35.6;11.102231932662454;5.404318731937287
1736949030.0;48.857911;2.335513;35.6;10.860400701179204;5.524658035268009
1736949031.0;48.857911;2.335471;35.6;11.095011938523722;5.407835551007389
1736949032.0;48.857915;2.335433;35.6;10.165272483838226;5.902448763217517
1736949033.0;48.857918;2.335391;35.6;11.15982746443004;5.376427206535165
1736949034.0;48.857924;2.335349;35.6;11.352056437594351;5.285385985335603
1736949035.0;48.857927;2.335312;35.4;9.847688588779423;6.092800301216341
1736949036.0;48.857936;2.335271;35.4;11.414441832494013;5.25649881794441
1736949037.0;48.857947;2.335235;35.2;10.48015310890653;5.725107198005453
1736949038.0;48.857961;2.335196;35.4;11.728414007038635;5.115781209973648
1736949039.0;48.857969;2.335163;35.2;9.287221623086728;6.460489739024687
1736949040.0;48.85798;2.335121;35.2;11.937018184281639;5.0263808828746255
1736949041.0;48.857992;2.335084;35.2;10.891006953725999;5.509132466348576
1736949042.0;48.858;2.335038;35.4;12.566642339652281;4.77454505175805
1736949043.0;48.85801;2.335003;35.6;10.075362117254903;5.955120947687326
1736949044.0;48.858018;2.334961;35.8;11.548006933464464;5.1957017644428865
1736949045.0;48.85803;2.334932;35.8;9.042566447349039;6.635284390704133
1736949046.0;48.858039;2.334905;35.8;7.990919276766219;7.508522852239463
1736949047.0;48.858051;2.334857;35.8;13.559559966356929;4.4249223535917075
1736949048.0;48.85806;2.334823;35.8;9.677418090635463;6.200000809932986
1736949049.0;48.858071;2.334781;35.8;11.936999518851309;5.026388742434478
1736949050.0;48.85808;2.334743;35.8;10.665367704354543;5.625685083084638
1736949051.0;48.85809;2.334704;35.8;11.052991596113415;5.428394609573205
1736949052.0;48.8581;2.334672;35.8;9.353400386226406;6.414779387435885
1736949053.0;48.85811;2.334634;35.6;10.807182732660916;5.55186318990157
1736949054.0;48.858119;2.334597;35.6;10.41710808664828;5.759755922750062
1736949055.0;48.858123;2.334555;35.6;11.209936664793776;5.352394201158833
1736949056.0;48.858131;2.334514;35.6;11.294417796884423;5.312358819996111
1736949057.0;48.858133;2.334478;35.8;9.543615840625018;6.286925312374116
1736949058.0;48.85814;2.334432;35.8;12.470586597369802;4.811321386650306
1736949059.0;48.858153;2.334394;35.8;11.307258431287904;5.306326052827817
1736949060.0;48.858166;2.334355;35.8;11.542416111806995;5.198218416213972
1736949061.0;48.858173;2.334324;35.8;8.655370618208122;6.932112170191679
1736949062.0;48.858184;2.33429;36.0;10.003153307369397;5.998108611991136
1736949063.0;48.858191;2.334259;35.8;8.655367839934312;6.932114395320182
1736949064.0;48.858199;2.334216;35.8;11.801998351911896;5.083884797380957
1736949065.0;48.858208;2.334179;36.0;10.417091850560565;5.759764899910264
1736949066.0;48.85822;2.334137;36.0;12.090392222411003;4.962618159631145
1736949067.0;48.858231;2.334095;36.0;11.93696670118196;5.02640256121842
1736949068.0;48.858239;2.334068;36.0;7.818547765028182;7.674059403764956
1736949069.0;48.858249;2.334033;36.0;10.07532178874413;5.955144784261911
1736949070.0;48.858259;2.334001;36.2;9.353376235619141;6.41479595052645
1736949071.0;48.858272;2.333965;36.0;10.840927276900716;5.5345819105202265
1736949072.0;48.85828;2.333929;36.2;10.034772533262055;5.979208776394206
1736949073.0;48.858289;2.333892;36.2;10.417077070753534;5.759773071896819
1736949074.0;48.858303;2.333856;36.2;11.038707056818708;5.435419174652113
1736949075.0;48.858318;2.33382;36.4;11.247266904764839;5.33462933777995
1736949076.0;48.858332;2.333786;36.4;10.586941270035195;5.6673592938331785
1736949077.0;48.858343;2.333746;36.4;11.447541865598234;5.241299896907123
1736949078.0;48.858353;2.333715;36.4;9.115319704096786;6.5823253542093125
1736949079.0;48.858361;2.333687;36.4;8.0602421823823;7.443945062983987
1736949080.0;48.858369;2.333652;36.4;9.784771457616607;6.131977661399044
1736949081.0;48.85838;2.333614;36.4;10.961748019668855;5.473579568910083
1736949082.0;48.858391;2.333577;36.4;10.720361986141723;5.596825935314718
1736949083.0;48.8584;2.333542;36.4;9.923020967443518;6.046545724014315
1736949084.0;48.858412;2.333505;36.2;10.890933715524172;5.509169513581256
1736949085.0;48.858424;2.333468;36.4;10.89093162562372;5.509170570755816
1736949086.0;48.85843;2.33343;36.4;10.321638772475987;5.813030403660116
1736949087.0;48.858437;2.333397;36.4;9.156796644318682;6.552509827465361
1736949088.0;48.858443;2.333359;36.4;10.321636248768543;5.813031824983999
1736949089.0;48.858454;2.333318;36.6;11.69179708615567;5.131803054557487
1736949090.0;48.858464;2.33328;36.6;10.807117069664313;5.551896922484592
1736949091.0;48.858479;2.333247;36.6;10.585623857489521;5.668064613645695
1736949092.0;48.858483;2.333214;36.8;8.86327616361113;6.769505868082353
1736949093.0;48.858495;2.333177;36.8;10.890919248491425;5.50917683172713
1736949094.0;48.858505;2.333146;36.8;9.115297474529603;6.582341406592033
1736949095.0;48.858518;2.33311;36.8;10.840886498873235;5.534602728866887
1736949096.0;48.858529;2.333073;36.8;10.720337538532924;5.596838698813115
1736949097.0;48.858536;2.333033;37.0;10.931855167292367;5.488546919238134
1736949098.0;48.858546;2.332995;37.0;10.807101862125938;5.551904735003302
1736949099.0;48.85856;2.332957;37.0;11.496952834687091;5.218774127608483
1736949100.0;48.858574;2.332927;37.0;9.706609492252207;6.181355090867914
1736949101.0;48.858583;2.33289;37.0;10.41702342655705;5.759802732807208
1736949102.0;48.858597;2.332855;36.8;10.811912632114137;5.549434410132459
1736949103.0;48.85861;2.332813;37.0;12.254900403278983;4.896000622244641
1736949104.0;48.858621;2.332782;37.0;9.298071942784233;6.4529507159345
1736949105.0;48.858632;2.332744;37.0;10.961701955082345;5.4736025706465465
1736949106.0;48.858641;2.332703;37.0;11.414297649234985;5.256565217047879
1736949107.0;48.858648;2.332666;37.0;10.167855497922726;5.900949321344888
1736949108.0;48.858658;2.332621;37.0;12.543381144548503;4.7833992532449425
