Timer;Accel1X;Accel1Y;Accel1Z;Gyro1X;Gyro1Y;Gyro1Z;Accel2X;Accel2Y;Accel2Z;Gyro2X;Gyro2Y;Gyro2Z;Latitude;Longitude;Altitude;Vitesse;Orientation;Satellites;HDOP;
407414;18908;2252;-332;-12055;-172;864;14688;-1212;32767;26;391;29;;;;;;;;
409434;18568;2480;-212;-12007;-193;910;14384;-1152;32767;35;400;37;;;;;;;;
411459;18832;2052;-284;-12208;-172;889;14764;-1232;32767;48;412;19;;;;;;;;
414024;18900;2272;-264;-12066;-168;957;14684;-1252;32767;47;402;38;;;;;;;;
416058;18796;2200;-296;-12054;-180;912;14692;-1208;32767;46;423;23;;;;;;;;
418079;18908;2212;-372;-11998;-171;946;14728;-1216;32767;51;399;32;;;;;;;;
420532;18948;2120;-384;-12037;-170;900;14680;-1256;32767;28;407;27;;;;;;;;
422554;18880;2052;-380;-12127;-181;888;14692;-1280;32767;33;404;36;;;;;;;;
424574;18816;2148;-376;-12035;-186;924;14724;-1260;32767;62;401;23;;;;;;;;
426836;18928;2188;-308;-12165;-185;922;14676;-1220;32767;39;413;32;;;;;;;;
428857;18848;2504;-276;-12035;-138;922;14808;-1252;32767;45;407;34;;;;;;;;
430877;18916;2460;-288;-12103;-179;847;14712;-1256;32767;45;404;26;;;;;;;;
433004;18852;2392;-436;-12009;-164;916;14740;-1192;32767;38;402;29;;;;;;;;
435024;18872;2104;-308;-12130;-185;949;14716;-1252;32767;63;400;24;;;;;;;;
437045;18896;2168;-344;-12043;-169;926;14724;-1308;32767;50;410;38;;;;;;;;
439325;18856;2180;-340;-12123;-163;965;14772;-1244;32767;29;411;36;;;;;;;;
441350;18836;2424;-460;-12044;-177;886;14724;-1236;32767;38;404;22;;;;;;;;
443371;18808;2072;-340;-11977;-162;914;14740;-1228;32767;64;392;31;;;;;;;;
445824;18860;2196;-296;-12025;-177;842;14684;-1256;32767;52;409;39;;;;;;;;
447845;18840;2132;-348;-12085;-187;939;14708;-1216;32767;35;387;19;;;;;;;;
449865;18920;2156;-308;-12072;-184;832;14700;-1200;32767;40;407;31;;;;;;;;
452240;18884;2308;-312;-12045;-162;945;14660;-1260;32767;47;384;48;;;;;;;;
454260;18856;2332;-380;-11992;-172;986;14688;-1256;32767;34;397;22;;;;;;;;
456298;18872;2156;-220;-12040;-173;895;14720;-1152;32767;41;393;36;;;;;;;;
458435;18884;2108;-380;-12066;-155;970;14740;-1272;32767;30;402;46;;;;;;;;
460455;18936;2088;-368;-12035;-174;919;14712;-1324;32767;47;407;40;;;;;;;;
462476;18856;2248;-292;-12118;-188;875;14684;-1236;32767;10;399;35;;;;;;;;
465033;18896;2092;-240;-12077;-175;942;14724;-1212;32767;35;366;35;;;;;;;;
467054;18880;2188;-168;-12116;-195;835;14700;-1212;32767;29;380;40;;;;;;;;
469079;18872;1940;-192;-12128;-170;923;14684;-1272;32767;27;392;35;;;;;;;;
471646;18908;2316;-372;-12218;-178;881;14764;-1188;32767;42;388;31;;;;;;;;
473748;18888;2140;-348;-12160;-171;905;14748;-1292;32767;15;411;29;;;;;;;;
475768;18904;2360;-348;-11960;-188;894;14672;-1248;32767;60;387;37;;;;;;;;
478143;18920;2364;-412;-12139;-167;925;14732;-1244;32767;30;394;41;;;;;;;;
480163;18936;2128;-240;-12186;-190;915;14732;-1280;32767;39;399;32;;;;;;;;
482184;18888;2040;-468;-12096;-192;921;14728;-1284;32767;31;385;41;;;;;;;;
484320;18924;2056;-268;-12238;-175;929;14696;-1276;32767;34;389;31;;;;;;;;
486340;18844;2292;-236;-12061;-188;865;14664;-1236;32767;22;395;6;;;;;;;;
488361;18832;2252;-344;-12004;-185;963;14716;-1280;32767;53;379;35;;;;;;;;
490734;18832;2488;-324;-12093;-180;871;14676;-1228;32767;25;392;38;;;;;;;;
492755;18948;2116;-320;-12148;-138;924;14716;-1196;32767;47;380;30;;;;;;;;
494775;18888;2356;-424;-11932;-157;894;14708;-1220;32767;47;395;44;;;;;;;;
497240;18944;1984;-320;-12110;-168;892;14700;-1272;32767;26;386;24;;;;;;;;
499265;18880;1876;-268;-12156;-180;891;14728;-1276;32767;45;392;28;;;;;;;;
501285;18908;2292;-360;-12009;-170;842;14732;-1264;32767;38;395;15;;;;;;;;
503417;18904;2136;-296;-12112;-177;939;14700;-1200;32767;34;401;40;;;;;;;;
505437;18868;2212;-420;-11996;-151;826;14728;-1264;32767;31;390;29;;;;;;;;
507459;18876;2228;-196;-12054;-173;905;14720;-1244;32767;31;399;38;;;;;;;;
509890;18804;2312;-292;-12062;-176;944;14720;-1212;32767;50;389;30;;;;;;;;
511911;18848;2168;-384;-12078;-168;858;14692;-1248;32767;30;398;47;;;;;;;;
513936;18872;2320;-384;-12034;-179;916;14692;-1220;32767;35;402;33;;;;;;;;
516227;18932;2168;-308;-12022;-172;908;14716;-1252;32767;30;395;38;;;;;;;;
518249;18884;2032;-404;-12143;-159;945;14664;-1232;32767;25;395;34;;;;;;;;
520269;18832;2360;-392;-12011;-170;945;14704;-1232;32767;25;391;31;;;;;;;;
522644;18836;2304;-344;-12023;-182;897;14712;-1264;32767;65;412;47;;;;;;;;
524664;18880;2460;-232;-12043;-170;947;14772;-1212;32767;43;391;35;;;;;;;;
526689;18896;2228;-316;-12190;-176;978;14696;-1228;32767;47;404;17;;;;;;;;
528824;18908;2224;-292;-12124;-169;936;14708;-1172;32767;49;393;44;;;;;;;;
