Timer,Accel1X,Accel1Y,Accel1Z,Gyro1X,Gyro1Y,Gyro1Z,Accel2X,Accel2Y,Accel2Z,Gyro2X,Gyro2Y,Gyro2Z,Flexion,Latitude,Longitude,Altitude,Vitesse,Orientation,Satellites,HDOP
26552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,,,,,,,
26610,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
26652,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
26927,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
26969,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
27011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
27167,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
27209,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
27250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
27373,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
27416,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
27503,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
27604,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
27646,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
