Timer;Accel1X;Accel1Y;Accel1Z;Gyro1X;Gyro1Y;Gyro1Z;Accel2X;Accel2Y;Accel2Z;Gyro2X;Gyro2Y;Gyro2Z;Flexion;Latitude;Longitude;Altitude;Vitesse;Orientation;Satellites;HDOP;
450190;18644;-32;-672;-12008;-1715;1027;14316;-2376;32767;1161;-1018;3099;0;;;;;;;;
452215;18332;-3896;6808;-13852;41;1417;14204;-6408;32767;-5068;514;10381;0;;;;;;;;
454482;18552;-652;-472;-12184;-299;637;14196;-3196;32767;-1235;160;-6444;0;;;;;;;;
456509;17616;-1272;-256;-11923;-32;844;12548;-3968;32767;174;490;-1135;0;;;;;;;;
458534;19016;2120;-364;-12102;-638;1040;14560;-644;32767;345;-11;1477;0;;;;;;;;
461266;18836;1836;-340;-12212;-143;866;14352;-716;32767;41;423;-27;0;;;;;;;;
463291;18888;1952;-340;-11972;-171;786;14412;-716;32767;57;407;6;0;;;;;;;;
465316;18904;1980;-352;-12045;-182;899;14264;-720;32767;82;386;28;0;;;;;;;;
467483;18860;1700;-404;-11992;-154;933;14324;-632;32767;48;384;9;0;;;;;;;;
469508;18860;2296;-520;-12000;-194;958;14388;-656;32767;42;390;31;0;;;;;;;;
471533;18784;1816;-368;-12069;-160;876;14312;-632;32767;54;363;23;0;;;;;;;;
473704;18896;1776;-340;-12002;-193;772;14336;-680;32767;46;359;46;0;;;;;;;;
475729;18816;2424;-308;-12048;-67;887;14436;-348;32767;-10;489;-316;0;;;;;;;;
477754;18968;2160;-424;-11988;-202;935;14388;-376;32767;63;370;119;0;;;;;;;;
480092;18868;2336;-244;-11914;-190;837;14420;-384;32767;51;383;33;0;;;;;;;;
482120;18848;2220;-396;-12013;-176;923;14360;-348;32767;71;368;106;0;;;;;;;;
484145;18896;2124;-228;-12037;-157;896;14384;-400;32767;57;385;-27;0;;;;;;;;
486397;18880;2072;-328;-12028;-180;921;14348;-324;32767;52;362;56;0;;;;;;;;
488422;18852;2416;-212;-12061;-161;906;14280;-376;32767;45;382;18;0;;;;;;;;
490447;18924;2420;-304;-11950;-177;884;14352;-392;32767;60;371;34;0;;;;;;;;
492612;18908;2320;-448;-11880;-197;836;14304;-452;32767;76;339;73;0;;;;;;;;
494637;18832;2376;-284;-11851;-166;883;14348;-464;32767;65;381;10;0;;;;;;;;
496667;18932;2104;-304;-11922;-169;863;14312;-448;32767;52;371;32;0;48.845413;2.357096;83;0;0;6;160;
498897;18852;2508;-284;-12154;-192;899;14392;-396;32767;42;359;28;0;48.845413;2.357096;83;0;0;6;160;
500934;14504;3176;-1976;-11566;3147;471;9916;344;32767;-107;4274;-6903;0;48.845413;2.357096;83;0;0;6;160;
502970;16216;-5540;-320;-12220;-1027;1027;11984;-8520;32767;-1033;-537;791;0;48.845413;2.357083;75;3;93;6;160;
505931;17772;-3980;-204;-12164;-411;927;13676;-6992;32767;-576;73;-217;0;48.845413;2.357083;75;3;93;6;160;
